Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Product Type,Mounting Style,Package / Case,Vr - Reverse Voltage,Vf - Forward Voltage,If - Forward Current
755-RB048RSM10STFTL1,RB048RSM10STFTL1,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RB048RSM10STF&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,7.478  In Stock,"=""$ 7.339""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RB048RSM10STFTL1?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS5OR5VfODzCdrmB1QKpDNWg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RB048RSM10STFTL1&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-277A-3,100 V,750 mV,"=""8 A"""
755-RSX078BM2STL,RSX078BM2STL,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RSX078BM2S&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,4.976  In Stock,"=""$ 6.183""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RSX078BM2STL?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSKxlvuvnNPATxbMS38EfqXA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RSX078BM2STL&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-252-3,200 V,840 mV,"=""5 A"""
78-SE100PWTJ-M3/I,SE100PWTJ-M3/I,Vishay Semiconductors,https://www.vishay.com/doc?98361,4.500  In Stock,"=""$ 4.574""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE100PWTJ-M3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS9gDfvktdRpsdzdye4B%252BFRA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE100PWTJ-M3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,DPAK 2L,600 V,1.14 V,"=""10 A"""
511-STPST8H100SF,STPST8H100SF,STMicroelectronics,https://co.mouser.com/datasheet/2/389/stpst8h100-3106917.pdf,5.996  In Stock,"=""$ 4.122""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/STMicroelectronics/STPST8H100SF?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSZli7bnuNtXhzmHMz2CsKfg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STPST8H100SF&utm_content=STMicroelectronics,Schottky Diodes & Rectifiers,SMD/SMT,TO-277A-3,,625 mV,"=""8 A"""
78-SE100PWTGHM3/I,SE100PWTGHM3/I,Vishay Semiconductors,https://www.vishay.com/doc?98361,4.500  In Stock,"=""$ 5.077""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE100PWTGHM3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSQHIfAWplIJM1v4%2FGXzgjAg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE100PWTGHM3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,DPAK 2L,400 V,1.14 V,"=""10 A"""
78-SE100PWTG-M3/I,SE100PWTG-M3/I,Vishay Semiconductors,https://www.vishay.com/doc?98361,4.480  In Stock,"=""$ 4.574""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE100PWTG-M3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS5LoKKNLW2MEtFRK9dlLfag%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE100PWTG-M3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,DPAK 2L,400 V,1.14 V,"=""10 A"""
78-VS-E5TX3006S2L-M3,VS-E5TX3006S2L-M3,Vishay Semiconductors,https://www.vishay.com/doc?97029,1.522  In Stock,"=""$ 11.561""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5TX3006S2L-M3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSN13670Qith4vQHQDkxIRkw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5TX3006S2L-M3&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,D2PAK 2L,600 V,1.3 V,"=""30 A"""
78-VS-E5TH1512S2L-M3,VS-E5TH1512S2L-M3,Vishay Semiconductors,https://www.vishay.com/doc?97021,1.519  In Stock,"=""$ 11.259""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5TH1512S2L-M3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSMWSFBVWDREjoUpsqtXFrAA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5TH1512S2L-M3&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,D2PAK 2L,1.2 kV,1.7 V,"=""15 A"""
78-VS-E5TX1512S2L-M3,VS-E5TX1512S2L-M3,Vishay Semiconductors,https://www.vishay.com/doc?97026,1.539  In Stock,"=""$ 11.259""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5TX1512S2L-M3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSZlqxAwyIjCiJ3bE3M0hB3w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5TX1512S2L-M3&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,D2PAK 2L,1.2 kV,2.1 V,"=""15 A"""
771-PMEG050V150EPEQZ,PMEG050V150EPE-QZ,Nexperia,https://co.mouser.com/datasheet/2/916/PMEG050V150EPE_Q-3006171.pdf,4.898  In Stock,"=""$ 4.876""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Nexperia/PMEG050V150EPE-QZ?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS%252BOhK9lA0Mi7I380WGkOB1Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PMEG050V150EPE-QZ&utm_content=Nexperia,Schottky Diodes & Rectifiers,SMD/SMT,SOT-1289B-3,50 V,650 mV,"=""21 A"""
755-RB225NS-40TL,RB225NS-40TL,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RB225NS-40&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,2.879  In Stock,"=""$ 13.370""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RB225NS-40TL?qs=sGAEpiMZZMtbRapU8LlZD7PkHJtcApwEmKpEacTNWt0%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RB225NS-40TL&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-263-3,40 V,530 mV,"=""15 A"""
771-PMEG030V050EPEQZ,PMEG030V050EPE-QZ,Nexperia,https://co.mouser.com/datasheet/2/916/PMEG030V050EPE_Q-3006096.pdf,19.906  In Stock,"=""$ 3.066""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Nexperia/PMEG030V050EPE-QZ?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSDJkwgLsuz6i6l%252B8geodZPA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PMEG030V050EPE-QZ&utm_content=Nexperia,Schottky Diodes & Rectifiers,SMD/SMT,SOT-1289B-3,30 V,500 mV,"=""7 A"""
771-MEG100V100ELPEQZ,PMEG100V100ELPE-QZ,Nexperia,https://co.mouser.com/datasheet/2/916/PMEG100V100ELPE_Q-3006239.pdf,11.918  In Stock,"=""$ 3.921""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Nexperia/PMEG100V100ELPE-QZ?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSc19w0WzaarqQARWNd%252BgCpw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PMEG100V100ELPE-QZ&utm_content=Nexperia,Schottky Diodes & Rectifiers,SMD/SMT,SOT-1289-B-3,100 V,850 mV,"=""14 A"""
771-PMEG045V100EPEQZ,PMEG045V100EPE-QZ,Nexperia,https://co.mouser.com/datasheet/2/916/PMEG045V100EPE_Q-3006164.pdf,9.370  In Stock,"=""$ 3.770""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Nexperia/PMEG045V100EPE-QZ?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS9%252Bo6Oizbt2KZl5mrUsCWhw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PMEG045V100EPE-QZ&utm_content=Nexperia,Schottky Diodes & Rectifiers,SMD/SMT,SOT-1289B-3,45 V,490 mV,"=""14 A"""
771-PMEG045V150EPEQZ,PMEG045V150EPE-QZ,Nexperia,https://co.mouser.com/datasheet/2/916/PMEG045V150EPE_Q-3006211.pdf,4.885  In Stock,"=""$ 4.876""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Nexperia/PMEG045V150EPE-QZ?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS%2FFdD2%2FUXAmvVRN9Y3ufpjg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PMEG045V150EPE-QZ&utm_content=Nexperia,Schottky Diodes & Rectifiers,SMD/SMT,SOT-1289B-3,45 V,570 mV,"=""21 A"""
771-PMEG060V100EPEQZ,PMEG060V100EPE-QZ,Nexperia,https://co.mouser.com/datasheet/2/916/PMEG060V100EPE_Q-3006177.pdf,12.428  In Stock,"=""$ 3.770""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Nexperia/PMEG060V100EPE-QZ?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSRvZ%252BT2lKyIH%2F7A9e%252BGn1Hw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PMEG060V100EPE-QZ&utm_content=Nexperia,Schottky Diodes & Rectifiers,SMD/SMT,SOT-1289B-3,60 V,560 mV,"=""14 A"""
78-SE80PWTJHM3/I,SE80PWTJHM3/I,Vishay Semiconductors,https://www.vishay.com/doc?98189,4.499  In Stock,"=""$ 4.876""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE80PWTJHM3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSP%2FHqE7g4pBnLCdsBySdsaQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE80PWTJHM3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,SlimDPAK 2L,600 V,1.12 V,"=""8 A"""
78-SE80PWTGHM3/I,SE80PWTGHM3/I,Vishay Semiconductors,https://www.vishay.com/doc?98189,4.499  In Stock,"=""$ 4.876""",RoHS Compliant By Exemption,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/SE80PWTGHM3-I?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS6%2FZ9DhdvKYNKyOLGBWky%252BQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SE80PWTGHM3%2FI&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,SlimDPAK 2L,400 V,1.12 V,"=""8 A"""
78-VS-E5PH7512L-N3,VS-E5PH7512L-N3,Vishay Semiconductors,https://www.vishay.com/doc?96885,1.195  In Stock,"=""$ 25.685""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5PH7512L-N3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSVvPxhC5biDxgLvJOL0fouQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5PH7512L-N3&utm_content=Vishay-Semiconductors,Rectifiers,Through Hole,TO-247AD-2,1.2 kV,2 V,"=""75 A"""
576-SP3022-01ETG-NM,SP3022-01ETG-NM,Littelfuse,https://co.mouser.com/datasheet/2/240/Littelfuse_TVS_Diode_Array_SP3022_Datasheet_pdf-3193388.pdf,20.096  In Stock,"=""$ 2.563""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Littelfuse/SP3022-01ETG-NM?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSs2CQomqjbfMSv3qHE6NjEA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SP3022-01ETG-NM&utm_content=Littelfuse,TVS Diodes,,SOD-882-2,,,
755-RSX058BM2SFHTL,RSX058BM2SFHTL,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RSX058BM2SFH&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,4.997  In Stock,"=""$ 7.138""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RSX058BM2SFHTL?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BS2gjbjLxyi3dpmgNEO7H92w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RSX058BM2SFHTL&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-252-3,200 V,800 mV,"=""3 A"""
755-RSX078BM2SFHTL,RSX078BM2SFHTL,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RSX078BM2SFH&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,4.988  In Stock,"=""$ 7.389""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RSX078BM2SFHTL?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSsSUB8hcRsKnUHxVK9ziYpQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RSX078BM2SFHTL&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-252-3,200 V,840 mV,"=""5 A"""
511-STPST12H100SF,STPST12H100SF,STMicroelectronics,https://www.st.com/resource/en/datasheet/stpst12h100.pdf,5.982  In Stock,"=""$ 4.725""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/STMicroelectronics/STPST12H100SF?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSKz3SnmAp7nka2RSLBfV47Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STPST12H100SF&utm_content=STMicroelectronics,Schottky Diodes & Rectifiers,SMD/SMT,TO-277A-3,,640 mV,"=""12 A"""
78-VS-E5TX3012S2L-M3,VS-E5TX3012S2L-M3,Vishay Semiconductors,https://www.vishay.com/doc?96999,1.362  In Stock,"=""$ 14.727""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/Vishay-Semiconductors/VS-E5TX3012S2L-M3?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSXlERQiADAmENC2JGl3RaeQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VS-E5TX3012S2L-M3&utm_content=Vishay-Semiconductors,Rectifiers,SMD/SMT,D2PAK 2L,1.2 kV,2.1 V,"=""30 A"""
755-RB078RSM10STFTL1,RB078RSM10STFTL1,ROHM Semiconductor,https://www.rohm.com/datasheet?p=RB078RSM10STF&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,11.985  In Stock,"=""$ 5.981""",RoHS Compliant,New Product,https://co.mouser.com/ProductDetail/ROHM-Semiconductor/RB078RSM10STFTL1?qs=sGAEpiMZZMtbRapU8LlZD8qu4xuMq4%252BSrwhUZFoCq12jzN2Sm5EwlQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RB078RSM10STFTL1&utm_content=ROHM-Semiconductor,Schottky Diodes & Rectifiers,SMD/SMT,TO-277A-3,100 V,750 mV,"=""5 A"""
